instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
12226562,47760,NIFTY2592325250PE,NIFTY,0,2025-09-23,25250.0,0.05,75,PE,NFO-OPT,NFO
12231938,47781,NIFTY2592325600CE,NIFTY,0,2025-09-23,25600.0,0.05,75,CE,NFO-OPT,NFO
12232194,47782,NIFTY2592325600PE,NIFTY,0,2025-09-23,25600.0,0.05,75,PE,NFO-OPT,NFO
12225794,47757,NIFTY2592325200CE,NIFTY,0,2025-09-23,25200.0,0.05,75,CE,NFO-OPT,NFO
12226050,47758,NIFTY2592325200PE,NIFTY,0,2025-09-23,25200.0,0.05,75,PE,NFO-OPT,NFO
12233474,47787,NIFTY2592325650CE,NIFTY,0,2025-09-23,25650.0,0.05,75,CE,NFO-OPT,NFO
12233730,47788,NIFTY2592325650PE,NIFTY,0,2025-09-23,25650.0,0.05,75,PE,NFO-OPT,NFO
12225282,47755,NIFTY2592325150CE,NIFTY,0,2025-09-23,25150.0,0.05,75,CE,NFO-OPT,NFO
12225538,47756,NIFTY2592325150PE,NIFTY,0,2025-09-23,25150.0,0.05,75,PE,NFO-OPT,NFO
12235010,47793,NIFTY2592325700CE,NIFTY,0,2025-09-23,25700.0,0.05,75,CE,NFO-OPT,NFO
12235266,47794,NIFTY2592325700PE,NIFTY,0,2025-09-23,25700.0,0.05,75,PE,NFO-OPT,NFO
12224770,47753,NIFTY2592325100CE,NIFTY,0,2025-09-23,25100.0,0.05,75,CE,NFO-OPT,NFO
12225026,47754,NIFTY2592325100PE,NIFTY,0,2025-09-23,25100.0,0.05,75,PE,NFO-OPT,NFO
12236034,47797,NIFTY2592325750CE,NIFTY,0,2025-09-23,25750.0,0.05,75,CE,NFO-OPT,NFO
12236290,47798,NIFTY2592325750PE,NIFTY,0,2025-09-23,25750.0,0.05,75,PE,NFO-OPT,NFO
12224258,47751,NIFTY2592325050CE,NIFTY,0,2025-09-23,25050.0,0.05,75,CE,NFO-OPT,NFO
12224514,47752,NIFTY2592325050PE,NIFTY,0,2025-09-23,25050.0,0.05,75,PE,NFO-OPT,NFO
12237826,47804,NIFTY2592325800PE,NIFTY,0,2025-09-23,25800.0,0.05,75,PE,NFO-OPT,NFO
12262146,47899,NIFTY2592327150CE,NIFTY,0,2025-09-23,27150.0,0.05,75,CE,NFO-OPT,NFO
12262402,47900,NIFTY2592327150PE,NIFTY,0,2025-09-23,27150.0,0.05,75,PE,NFO-OPT,NFO
12260098,47891,NIFTY2592327100CE,NIFTY,0,2025-09-23,27100.0,0.05,75,CE,NFO-OPT,NFO
12261890,47898,NIFTY2592327100PE,NIFTY,0,2025-09-23,27100.0,0.05,75,PE,NFO-OPT,NFO
12259586,47889,NIFTY2592327050CE,NIFTY,0,2025-09-23,27050.0,0.05,75,CE,NFO-OPT,NFO
12259842,47890,NIFTY2592327050PE,NIFTY,0,2025-09-23,27050.0,0.05,75,PE,NFO-OPT,NFO
12259074,47887,NIFTY2592327000CE,NIFTY,0,2025-09-23,27000.0,0.05,75,CE,NFO-OPT,NFO
12259330,47888,NIFTY2592327000PE,NIFTY,0,2025-09-23,27000.0,0.05,75,PE,NFO-OPT,NFO
12258562,47885,NIFTY2592326950CE,NIFTY,0,2025-09-23,26950.0,0.05,75,CE,NFO-OPT,NFO
12258818,47886,NIFTY2592326950PE,NIFTY,0,2025-09-23,26950.0,0.05,75,PE,NFO-OPT,NFO
12258050,47883,NIFTY2592326900CE,NIFTY,0,2025-09-23,26900.0,0.05,75,CE,NFO-OPT,NFO
12258306,47884,NIFTY2592326900PE,NIFTY,0,2025-09-23,26900.0,0.05,75,PE,NFO-OPT,NFO
12257538,47881,NIFTY2592326850CE,NIFTY,0,2025-09-23,26850.0,0.05,75,CE,NFO-OPT,NFO
12257794,47882,NIFTY2592326850PE,NIFTY,0,2025-09-23,26850.0,0.05,75,PE,NFO-OPT,NFO
12257026,47879,NIFTY2592326800CE,NIFTY,0,2025-09-23,26800.0,0.05,75,CE,NFO-OPT,NFO
12257282,47880,NIFTY2592326800PE,NIFTY,0,2025-09-23,26800.0,0.05,75,PE,NFO-OPT,NFO
12255746,47874,NIFTY2592326750CE,NIFTY,0,2025-09-23,26750.0,0.05,75,CE,NFO-OPT,NFO
12256002,47875,NIFTY2592326750PE,NIFTY,0,2025-09-23,26750.0,0.05,75,PE,NFO-OPT,NFO
12254978,47871,NIFTY2592326700CE,NIFTY,0,2025-09-23,26700.0,0.05,75,CE,NFO-OPT,NFO
12255234,47872,NIFTY2592326700PE,NIFTY,0,2025-09-23,26700.0,0.05,75,PE,NFO-OPT,NFO
12254466,47869,NIFTY2592326650CE,NIFTY,0,2025-09-23,26650.0,0.05,75,CE,NFO-OPT,NFO
12254722,47870,NIFTY2592326650PE,NIFTY,0,2025-09-23,26650.0,0.05,75,PE,NFO-OPT,NFO
12253698,47866,NIFTY2592326600CE,NIFTY,0,2025-09-23,26600.0,0.05,75,CE,NFO-OPT,NFO
12253954,47867,NIFTY2592326600PE,NIFTY,0,2025-09-23,26600.0,0.05,75,PE,NFO-OPT,NFO
12251906,47859,NIFTY2592326550CE,NIFTY,0,2025-09-23,26550.0,0.05,75,CE,NFO-OPT,NFO
12252162,47860,NIFTY2592326550PE,NIFTY,0,2025-09-23,26550.0,0.05,75,PE,NFO-OPT,NFO
12251394,47857,NIFTY2592326500CE,NIFTY,0,2025-09-23,26500.0,0.05,75,CE,NFO-OPT,NFO
12251650,47858,NIFTY2592326500PE,NIFTY,0,2025-09-23,26500.0,0.05,75,PE,NFO-OPT,NFO
12250882,47855,NIFTY2592326450CE,NIFTY,0,2025-09-23,26450.0,0.05,75,CE,NFO-OPT,NFO
12251138,47856,NIFTY2592326450PE,NIFTY,0,2025-09-23,26450.0,0.05,75,PE,NFO-OPT,NFO
12250370,47853,NIFTY2592326400CE,NIFTY,0,2025-09-23,26400.0,0.05,75,CE,NFO-OPT,NFO
12250626,47854,NIFTY2592326400PE,NIFTY,0,2025-09-23,26400.0,0.05,75,PE,NFO-OPT,NFO
12249858,47851,NIFTY2592326350CE,NIFTY,0,2025-09-23,26350.0,0.05,75,CE,NFO-OPT,NFO
12250114,47852,NIFTY2592326350PE,NIFTY,0,2025-09-23,26350.0,0.05,75,PE,NFO-OPT,NFO
12249346,47849,NIFTY2592326300CE,NIFTY,0,2025-09-23,26300.0,0.05,75,CE,NFO-OPT,NFO
12249602,47850,NIFTY2592326300PE,NIFTY,0,2025-09-23,26300.0,0.05,75,PE,NFO-OPT,NFO
12247810,47843,NIFTY2592326250CE,NIFTY,0,2025-09-23,26250.0,0.05,75,CE,NFO-OPT,NFO
12248066,47844,NIFTY2592326250PE,NIFTY,0,2025-09-23,26250.0,0.05,75,PE,NFO-OPT,NFO
12247298,47841,NIFTY2592326200CE,NIFTY,0,2025-09-23,26200.0,0.05,75,CE,NFO-OPT,NFO
12247554,47842,NIFTY2592326200PE,NIFTY,0,2025-09-23,26200.0,0.05,75,PE,NFO-OPT,NFO
12246786,47839,NIFTY2592326150CE,NIFTY,0,2025-09-23,26150.0,0.05,75,CE,NFO-OPT,NFO
12247042,47840,NIFTY2592326150PE,NIFTY,0,2025-09-23,26150.0,0.05,75,PE,NFO-OPT,NFO
12246018,47836,NIFTY2592326100CE,NIFTY,0,2025-09-23,26100.0,0.05,75,CE,NFO-OPT,NFO
12246274,47837,NIFTY2592326100PE,NIFTY,0,2025-09-23,26100.0,0.05,75,PE,NFO-OPT,NFO
12245250,47833,NIFTY2592326050CE,NIFTY,0,2025-09-23,26050.0,0.05,75,CE,NFO-OPT,NFO
12245506,47834,NIFTY2592326050PE,NIFTY,0,2025-09-23,26050.0,0.05,75,PE,NFO-OPT,NFO
12242178,47821,NIFTY2592326000CE,NIFTY,0,2025-09-23,26000.0,0.05,75,CE,NFO-OPT,NFO
12242434,47822,NIFTY2592326000PE,NIFTY,0,2025-09-23,26000.0,0.05,75,PE,NFO-OPT,NFO
12240642,47815,NIFTY2592325950CE,NIFTY,0,2025-09-23,25950.0,0.05,75,CE,NFO-OPT,NFO
12240898,47816,NIFTY2592325950PE,NIFTY,0,2025-09-23,25950.0,0.05,75,PE,NFO-OPT,NFO
12240130,47813,NIFTY2592325900CE,NIFTY,0,2025-09-23,25900.0,0.05,75,CE,NFO-OPT,NFO
12240386,47814,NIFTY2592325900PE,NIFTY,0,2025-09-23,25900.0,0.05,75,PE,NFO-OPT,NFO
12238082,47805,NIFTY2592325850CE,NIFTY,0,2025-09-23,25850.0,0.05,75,CE,NFO-OPT,NFO
12239874,47812,NIFTY2592325850PE,NIFTY,0,2025-09-23,25850.0,0.05,75,PE,NFO-OPT,NFO
12237570,47803,NIFTY2592325800CE,NIFTY,0,2025-09-23,25800.0,0.05,75,CE,NFO-OPT,NFO
12219650,47733,NIFTY2592325000CE,NIFTY,0,2025-09-23,25000.0,0.05,75,CE,NFO-OPT,NFO
12219906,47734,NIFTY2592325000PE,NIFTY,0,2025-09-23,25000.0,0.05,75,PE,NFO-OPT,NFO
12217090,47723,NIFTY2592324950CE,NIFTY,0,2025-09-23,24950.0,0.05,75,CE,NFO-OPT,NFO
12217346,47724,NIFTY2592324950PE,NIFTY,0,2025-09-23,24950.0,0.05,75,PE,NFO-OPT,NFO
12215554,47717,NIFTY2592324900CE,NIFTY,0,2025-09-23,24900.0,0.05,75,CE,NFO-OPT,NFO
12215810,47718,NIFTY2592324900PE,NIFTY,0,2025-09-23,24900.0,0.05,75,PE,NFO-OPT,NFO
12214018,47711,NIFTY2592324850CE,NIFTY,0,2025-09-23,24850.0,0.05,75,CE,NFO-OPT,NFO
12214274,47712,NIFTY2592324850PE,NIFTY,0,2025-09-23,24850.0,0.05,75,PE,NFO-OPT,NFO
12211970,47703,NIFTY2592324800CE,NIFTY,0,2025-09-23,24800.0,0.05,75,CE,NFO-OPT,NFO
12212226,47704,NIFTY2592324800PE,NIFTY,0,2025-09-23,24800.0,0.05,75,PE,NFO-OPT,NFO
12210434,47697,NIFTY2592324750CE,NIFTY,0,2025-09-23,24750.0,0.05,75,CE,NFO-OPT,NFO
12211202,47700,NIFTY2592324750PE,NIFTY,0,2025-09-23,24750.0,0.05,75,PE,NFO-OPT,NFO
12209922,47695,NIFTY2592324700CE,NIFTY,0,2025-09-23,24700.0,0.05,75,CE,NFO-OPT,NFO
12210178,47696,NIFTY2592324700PE,NIFTY,0,2025-09-23,24700.0,0.05,75,PE,NFO-OPT,NFO
12207362,47685,NIFTY2592324650CE,NIFTY,0,2025-09-23,24650.0,0.05,75,CE,NFO-OPT,NFO
12207618,47686,NIFTY2592324650PE,NIFTY,0,2025-09-23,24650.0,0.05,75,PE,NFO-OPT,NFO
12198146,47649,NIFTY2592324600CE,NIFTY,0,2025-09-23,24600.0,0.05,75,CE,NFO-OPT,NFO
12198402,47650,NIFTY2592324600PE,NIFTY,0,2025-09-23,24600.0,0.05,75,PE,NFO-OPT,NFO
12191234,47622,NIFTY2592324550CE,NIFTY,0,2025-09-23,24550.0,0.05,75,CE,NFO-OPT,NFO
12191490,47623,NIFTY2592324550PE,NIFTY,0,2025-09-23,24550.0,0.05,75,PE,NFO-OPT,NFO
12190722,47620,NIFTY2592324500CE,NIFTY,0,2025-09-23,24500.0,0.05,75,CE,NFO-OPT,NFO
12190978,47621,NIFTY2592324500PE,NIFTY,0,2025-09-23,24500.0,0.05,75,PE,NFO-OPT,NFO
12188162,47610,NIFTY2592324450CE,NIFTY,0,2025-09-23,24450.0,0.05,75,CE,NFO-OPT,NFO
12188418,47611,NIFTY2592324450PE,NIFTY,0,2025-09-23,24450.0,0.05,75,PE,NFO-OPT,NFO
12187650,47608,NIFTY2592324400CE,NIFTY,0,2025-09-23,24400.0,0.05,75,CE,NFO-OPT,NFO
12187906,47609,NIFTY2592324400PE,NIFTY,0,2025-09-23,24400.0,0.05,75,PE,NFO-OPT,NFO
12187138,47606,NIFTY2592324350CE,NIFTY,0,2025-09-23,24350.0,0.05,75,CE,NFO-OPT,NFO
12187394,47607,NIFTY2592324350PE,NIFTY,0,2025-09-23,24350.0,0.05,75,PE,NFO-OPT,NFO
12185090,47598,NIFTY2592324300CE,NIFTY,0,2025-09-23,24300.0,0.05,75,CE,NFO-OPT,NFO
12185346,47599,NIFTY2592324300PE,NIFTY,0,2025-09-23,24300.0,0.05,75,PE,NFO-OPT,NFO
12183554,47592,NIFTY2592324250CE,NIFTY,0,2025-09-23,24250.0,0.05,75,CE,NFO-OPT,NFO
12184322,47595,NIFTY2592324250PE,NIFTY,0,2025-09-23,24250.0,0.05,75,PE,NFO-OPT,NFO
12182018,47586,NIFTY2592324200CE,NIFTY,0,2025-09-23,24200.0,0.05,75,CE,NFO-OPT,NFO
12182786,47589,NIFTY2592324200PE,NIFTY,0,2025-09-23,24200.0,0.05,75,PE,NFO-OPT,NFO
12180482,47580,NIFTY2592324150CE,NIFTY,0,2025-09-23,24150.0,0.05,75,CE,NFO-OPT,NFO
12180738,47581,NIFTY2592324150PE,NIFTY,0,2025-09-23,24150.0,0.05,75,PE,NFO-OPT,NFO
12179970,47578,NIFTY2592324100CE,NIFTY,0,2025-09-23,24100.0,0.05,75,CE,NFO-OPT,NFO
12180226,47579,NIFTY2592324100PE,NIFTY,0,2025-09-23,24100.0,0.05,75,PE,NFO-OPT,NFO
12178434,47572,NIFTY2592324050CE,NIFTY,0,2025-09-23,24050.0,0.05,75,CE,NFO-OPT,NFO
12178690,47573,NIFTY2592324050PE,NIFTY,0,2025-09-23,24050.0,0.05,75,PE,NFO-OPT,NFO
12177922,47570,NIFTY2592324000CE,NIFTY,0,2025-09-23,24000.0,0.05,75,CE,NFO-OPT,NFO
12178178,47571,NIFTY2592324000PE,NIFTY,0,2025-09-23,24000.0,0.05,75,PE,NFO-OPT,NFO
12177410,47568,NIFTY2592323950CE,NIFTY,0,2025-09-23,23950.0,0.05,75,CE,NFO-OPT,NFO
12177666,47569,NIFTY2592323950PE,NIFTY,0,2025-09-23,23950.0,0.05,75,PE,NFO-OPT,NFO
12176898,47566,NIFTY2592323900CE,NIFTY,0,2025-09-23,23900.0,0.05,75,CE,NFO-OPT,NFO
12177154,47567,NIFTY2592323900PE,NIFTY,0,2025-09-23,23900.0,0.05,75,PE,NFO-OPT,NFO
12175362,47560,NIFTY2592323850CE,NIFTY,0,2025-09-23,23850.0,0.05,75,CE,NFO-OPT,NFO
12175618,47561,NIFTY2592323850PE,NIFTY,0,2025-09-23,23850.0,0.05,75,PE,NFO-OPT,NFO
12174850,47558,NIFTY2592323800CE,NIFTY,0,2025-09-23,23800.0,0.05,75,CE,NFO-OPT,NFO
12175106,47559,NIFTY2592323800PE,NIFTY,0,2025-09-23,23800.0,0.05,75,PE,NFO-OPT,NFO
12174338,47556,NIFTY2592323750CE,NIFTY,0,2025-09-23,23750.0,0.05,75,CE,NFO-OPT,NFO
12174594,47557,NIFTY2592323750PE,NIFTY,0,2025-09-23,23750.0,0.05,75,PE,NFO-OPT,NFO
12173826,47554,NIFTY2592323700CE,NIFTY,0,2025-09-23,23700.0,0.05,75,CE,NFO-OPT,NFO
12174082,47555,NIFTY2592323700PE,NIFTY,0,2025-09-23,23700.0,0.05,75,PE,NFO-OPT,NFO
12172802,47550,NIFTY2592323650CE,NIFTY,0,2025-09-23,23650.0,0.05,75,CE,NFO-OPT,NFO
12173058,47551,NIFTY2592323650PE,NIFTY,0,2025-09-23,23650.0,0.05,75,PE,NFO-OPT,NFO
12172290,47548,NIFTY2592323600CE,NIFTY,0,2025-09-23,23600.0,0.05,75,CE,NFO-OPT,NFO
12172546,47549,NIFTY2592323600PE,NIFTY,0,2025-09-23,23600.0,0.05,75,PE,NFO-OPT,NFO
12171522,47545,NIFTY2592323550CE,NIFTY,0,2025-09-23,23550.0,0.05,75,CE,NFO-OPT,NFO
12171778,47546,NIFTY2592323550PE,NIFTY,0,2025-09-23,23550.0,0.05,75,PE,NFO-OPT,NFO
12169218,47536,NIFTY2592323500CE,NIFTY,0,2025-09-23,23500.0,0.05,75,CE,NFO-OPT,NFO
12169474,47537,NIFTY2592323500PE,NIFTY,0,2025-09-23,23500.0,0.05,75,PE,NFO-OPT,NFO
12168706,47534,NIFTY2592323450CE,NIFTY,0,2025-09-23,23450.0,0.05,75,CE,NFO-OPT,NFO
12168962,47535,NIFTY2592323450PE,NIFTY,0,2025-09-23,23450.0,0.05,75,PE,NFO-OPT,NFO
12168194,47532,NIFTY2592323400CE,NIFTY,0,2025-09-23,23400.0,0.05,75,CE,NFO-OPT,NFO
12168450,47533,NIFTY2592323400PE,NIFTY,0,2025-09-23,23400.0,0.05,75,PE,NFO-OPT,NFO
12167682,47530,NIFTY2592323350CE,NIFTY,0,2025-09-23,23350.0,0.05,75,CE,NFO-OPT,NFO
12167938,47531,NIFTY2592323350PE,NIFTY,0,2025-09-23,23350.0,0.05,75,PE,NFO-OPT,NFO
12167170,47528,NIFTY2592323300CE,NIFTY,0,2025-09-23,23300.0,0.05,75,CE,NFO-OPT,NFO
12167426,47529,NIFTY2592323300PE,NIFTY,0,2025-09-23,23300.0,0.05,75,PE,NFO-OPT,NFO
12165890,47523,NIFTY2592323250CE,NIFTY,0,2025-09-23,23250.0,0.05,75,CE,NFO-OPT,NFO
12166402,47525,NIFTY2592323250PE,NIFTY,0,2025-09-23,23250.0,0.05,75,PE,NFO-OPT,NFO
12165122,47520,NIFTY2592323200CE,NIFTY,0,2025-09-23,23200.0,0.05,75,CE,NFO-OPT,NFO
12165634,47522,NIFTY2592323200PE,NIFTY,0,2025-09-23,23200.0,0.05,75,PE,NFO-OPT,NFO
12164610,47518,NIFTY2592323150CE,NIFTY,0,2025-09-23,23150.0,0.05,75,CE,NFO-OPT,NFO
12164866,47519,NIFTY2592323150PE,NIFTY,0,2025-09-23,23150.0,0.05,75,PE,NFO-OPT,NFO
12164098,47516,NIFTY2592323100CE,NIFTY,0,2025-09-23,23100.0,0.05,75,CE,NFO-OPT,NFO
12164354,47517,NIFTY2592323100PE,NIFTY,0,2025-09-23,23100.0,0.05,75,PE,NFO-OPT,NFO
12161794,47507,NIFTY2592323050CE,NIFTY,0,2025-09-23,23050.0,0.05,75,CE,NFO-OPT,NFO
12162306,47509,NIFTY2592323050PE,NIFTY,0,2025-09-23,23050.0,0.05,75,PE,NFO-OPT,NFO
12160002,47500,NIFTY2592323000CE,NIFTY,0,2025-09-23,23000.0,0.05,75,CE,NFO-OPT,NFO
12161026,47504,NIFTY2592323000PE,NIFTY,0,2025-09-23,23000.0,0.05,75,PE,NFO-OPT,NFO
12158466,47494,NIFTY2592322950CE,NIFTY,0,2025-09-23,22950.0,0.05,75,CE,NFO-OPT,NFO
12158722,47495,NIFTY2592322950PE,NIFTY,0,2025-09-23,22950.0,0.05,75,PE,NFO-OPT,NFO
12157954,47492,NIFTY2592322900CE,NIFTY,0,2025-09-23,22900.0,0.05,75,CE,NFO-OPT,NFO
12158210,47493,NIFTY2592322900PE,NIFTY,0,2025-09-23,22900.0,0.05,75,PE,NFO-OPT,NFO
12157442,47490,NIFTY2592322850CE,NIFTY,0,2025-09-23,22850.0,0.05,75,CE,NFO-OPT,NFO
12157698,47491,NIFTY2592322850PE,NIFTY,0,2025-09-23,22850.0,0.05,75,PE,NFO-OPT,NFO
12155650,47483,NIFTY2592322800CE,NIFTY,0,2025-09-23,22800.0,0.05,75,CE,NFO-OPT,NFO
12157186,47489,NIFTY2592322800PE,NIFTY,0,2025-09-23,22800.0,0.05,75,PE,NFO-OPT,NFO
12153858,47476,NIFTY2592322750CE,NIFTY,0,2025-09-23,22750.0,0.05,75,CE,NFO-OPT,NFO
12154370,47478,NIFTY2592322750PE,NIFTY,0,2025-09-23,22750.0,0.05,75,PE,NFO-OPT,NFO
12153346,47474,NIFTY2592322700CE,NIFTY,0,2025-09-23,22700.0,0.05,75,CE,NFO-OPT,NFO
12153602,47475,NIFTY2592322700PE,NIFTY,0,2025-09-23,22700.0,0.05,75,PE,NFO-OPT,NFO
15486722,60495,NIFTY25SEP25400CE,NIFTY,0,2025-09-30,25400.0,0.05,75,CE,NFO-OPT,NFO
15486978,60496,NIFTY25SEP25400PE,NIFTY,0,2025-09-30,25400.0,0.05,75,PE,NFO-OPT,NFO
15487234,60497,NIFTY25SEP25450CE,NIFTY,0,2025-09-30,25450.0,0.05,75,CE,NFO-OPT,NFO
15487490,60498,NIFTY25SEP25450PE,NIFTY,0,2025-09-30,25450.0,0.05,75,PE,NFO-OPT,NFO
15486210,60493,NIFTY25SEP25350CE,NIFTY,0,2025-09-30,25350.0,0.05,75,CE,NFO-OPT,NFO
15486466,60494,NIFTY25SEP25350PE,NIFTY,0,2025-09-30,25350.0,0.05,75,PE,NFO-OPT,NFO
15487746,60499,NIFTY25SEP25500CE,NIFTY,0,2025-09-30,25500.0,0.05,75,CE,NFO-OPT,NFO
15488002,60500,NIFTY25SEP25500PE,NIFTY,0,2025-09-30,25500.0,0.05,75,PE,NFO-OPT,NFO
15485698,60491,NIFTY25SEP25300CE,NIFTY,0,2025-09-30,25300.0,0.05,75,CE,NFO-OPT,NFO
15485954,60492,NIFTY25SEP25300PE,NIFTY,0,2025-09-30,25300.0,0.05,75,PE,NFO-OPT,NFO
15488258,60501,NIFTY25SEP25550CE,NIFTY,0,2025-09-30,25550.0,0.05,75,CE,NFO-OPT,NFO
15488514,60502,NIFTY25SEP25550PE,NIFTY,0,2025-09-30,25550.0,0.05,75,PE,NFO-OPT,NFO
15485186,60489,NIFTY25SEP25250CE,NIFTY,0,2025-09-30,25250.0,0.05,75,CE,NFO-OPT,NFO
15485442,60490,NIFTY25SEP25250PE,NIFTY,0,2025-09-30,25250.0,0.05,75,PE,NFO-OPT,NFO
15488770,60503,NIFTY25SEP25600CE,NIFTY,0,2025-09-30,25600.0,0.05,75,CE,NFO-OPT,NFO
15489026,60504,NIFTY25SEP25600PE,NIFTY,0,2025-09-30,25600.0,0.05,75,PE,NFO-OPT,NFO
15484674,60487,NIFTY25SEP25200CE,NIFTY,0,2025-09-30,25200.0,0.05,75,CE,NFO-OPT,NFO
15484930,60488,NIFTY25SEP25200PE,NIFTY,0,2025-09-30,25200.0,0.05,75,PE,NFO-OPT,NFO
15489282,60505,NIFTY25SEP25650CE,NIFTY,0,2025-09-30,25650.0,0.05,75,CE,NFO-OPT,NFO
15489538,60506,NIFTY25SEP25650PE,NIFTY,0,2025-09-30,25650.0,0.05,75,PE,NFO-OPT,NFO
15484162,60485,NIFTY25SEP25150CE,NIFTY,0,2025-09-30,25150.0,0.05,75,CE,NFO-OPT,NFO
15484418,60486,NIFTY25SEP25150PE,NIFTY,0,2025-09-30,25150.0,0.05,75,PE,NFO-OPT,NFO
15490050,60508,NIFTY25SEP25700CE,NIFTY,0,2025-09-30,25700.0,0.05,75,CE,NFO-OPT,NFO
15490306,60509,NIFTY25SEP25700PE,NIFTY,0,2025-09-30,25700.0,0.05,75,PE,NFO-OPT,NFO
15483650,60483,NIFTY25SEP25100CE,NIFTY,0,2025-09-30,25100.0,0.05,75,CE,NFO-OPT,NFO
15483906,60484,NIFTY25SEP25100PE,NIFTY,0,2025-09-30,25100.0,0.05,75,PE,NFO-OPT,NFO
15490562,60510,NIFTY25SEP25750CE,NIFTY,0,2025-09-30,25750.0,0.05,75,CE,NFO-OPT,NFO
15490818,60511,NIFTY25SEP25750PE,NIFTY,0,2025-09-30,25750.0,0.05,75,PE,NFO-OPT,NFO
15483138,60481,NIFTY25SEP25050CE,NIFTY,0,2025-09-30,25050.0,0.05,75,CE,NFO-OPT,NFO
15483394,60482,NIFTY25SEP25050PE,NIFTY,0,2025-09-30,25050.0,0.05,75,PE,NFO-OPT,NFO
15491330,60513,NIFTY25SEP25800PE,NIFTY,0,2025-09-30,25800.0,0.05,75,PE,NFO-OPT,NFO
16564226,64704,NIFTY25SEP30000CE,NIFTY,0,2025-09-30,30000.0,0.05,75,CE,NFO-OPT,NFO
16564482,64705,NIFTY25SEP30000PE,NIFTY,0,2025-09-30,30000.0,0.05,75,PE,NFO-OPT,NFO
16563714,64702,NIFTY25SEP29000CE,NIFTY,0,2025-09-30,29000.0,0.05,75,CE,NFO-OPT,NFO
16563970,64703,NIFTY25SEP29000PE,NIFTY,0,2025-09-30,29000.0,0.05,75,PE,NFO-OPT,NFO
16563202,64700,NIFTY25SEP28000CE,NIFTY,0,2025-09-30,28000.0,0.05,75,CE,NFO-OPT,NFO
16563458,64701,NIFTY25SEP28000PE,NIFTY,0,2025-09-30,28000.0,0.05,75,PE,NFO-OPT,NFO
15520002,60625,NIFTY25SEP27400CE,NIFTY,0,2025-09-30,27400.0,0.05,75,CE,NFO-OPT,NFO
15520258,60626,NIFTY25SEP27400PE,NIFTY,0,2025-09-30,27400.0,0.05,75,PE,NFO-OPT,NFO
15519490,60623,NIFTY25SEP27350CE,NIFTY,0,2025-09-30,27350.0,0.05,75,CE,NFO-OPT,NFO
15519746,60624,NIFTY25SEP27350PE,NIFTY,0,2025-09-30,27350.0,0.05,75,PE,NFO-OPT,NFO
15518978,60621,NIFTY25SEP27300CE,NIFTY,0,2025-09-30,27300.0,0.05,75,CE,NFO-OPT,NFO
15519234,60622,NIFTY25SEP27300PE,NIFTY,0,2025-09-30,27300.0,0.05,75,PE,NFO-OPT,NFO
15518466,60619,NIFTY25SEP27250CE,NIFTY,0,2025-09-30,27250.0,0.05,75,CE,NFO-OPT,NFO
15518722,60620,NIFTY25SEP27250PE,NIFTY,0,2025-09-30,27250.0,0.05,75,PE,NFO-OPT,NFO
15517442,60615,NIFTY25SEP27200CE,NIFTY,0,2025-09-30,27200.0,0.05,75,CE,NFO-OPT,NFO
